,file,Silence,Baby laughter,"Baby cry, infant cry"
345,v80_ns-33,0.1484375,0.0,0.0
346,v80_ns-34,0.1484375,0.0,0.00390625
347,v80_ns-35,0.1484375,0.00390625,0.00390625
348,v80_ns-36,0.1484375,0.0,0.0
349,v80_ns-37,0.1484375,0.00390625,0.0
350,v80_ns-38,0.109375,0.109375,0.01171875
351,v80_ns-39,0.1484375,0.00390625,0.00390625
352,v80_ns-4,0.19921875,0.0,0.0
353,v80_ns-40,0.1484375,0.0,0.00390625
354,v80_ns-41,0.19921875,0.0,0.0
355,v80_ns-42,0.1484375,0.0,0.0
356,v80_ns-43,0.1484375,0.0,0.0
357,v80_ns-44,0.19921875,0.0,0.0
358,v80_ns-45,0.1484375,0.0,0.0
359,v80_ns-46,0.19921875,0.0,0.0
360,v80_ns-47,0.19921875,0.0,0.0
361,v80_ns-48,0.1484375,0.0,0.0
362,v80_ns-49,0.109375,0.0,0.0
363,v80_ns-5,0.1484375,0.0,0.0
364,v80_ns-50,0.19921875,0.0,0.0
365,v80_ns-51,0.19921875,0.0,0.0
366,v80_ns-52,0.1484375,0.0,0.0
367,v80_ns-53,0.1484375,0.0,0.0
368,v80_ns-54,0.109375,0.0,0.0
369,v80_ns-55,0.1484375,0.0,0.0
370,v80_ns-56,0.1484375,0.0,0.0
371,v80_ns-57,0.1484375,0.0,0.0
372,v80_ns-58,0.1484375,0.0,0.0
373,v80_ns-59,0.19921875,0.0,0.0
374,v80_ns-6,0.1484375,0.0,0.0
375,v80_ns-60,0.1484375,0.0,0.0
376,v80_ns-61,0.109375,0.0,0.0
377,v80_ns-62,0.1484375,0.0,0.0
378,v80_ns-63,0.109375,0.0,0.0
379,v80_ns-64,0.19921875,0.0,0.0
380,v80_ns-65,0.1484375,0.0,0.0
381,v80_ns-66,0.1484375,0.0,0.0
382,v80_ns-67,0.19921875,0.0,0.0
383,v80_ns-68,0.19921875,0.0,0.0
384,v80_ns-69,0.1484375,0.0,0.0
385,v80_ns-7,0.1484375,0.0,0.0
386,v80_ns-70,0.1484375,0.0,0.0
387,v80_ns-71,0.1484375,0.0,0.0
388,v80_ns-72,0.1484375,0.0,0.0
389,v80_ns-73,0.19921875,0.0,0.0
390,v80_ns-74,0.1484375,0.0,0.0
391,v80_ns-75,0.19921875,0.0,0.0
392,v80_ns-76,0.1484375,0.0,0.0
393,v80_ns-77,0.19921875,0.0,0.0
394,v80_ns-78,0.109375,0.0,0.0
395,v80_ns-79,0.19921875,0.00390625,0.0
396,v80_ns-8,0.109375,0.0,0.0
397,v80_ns-80,0.1484375,0.0,0.0078125
398,v80_ns-81,0.1484375,0.0,0.0
399,v80_ns-82,0.1484375,0.0,0.0
400,v80_ns-83,0.1484375,0.0,0.0
401,v80_ns-84,0.1484375,0.0,0.0
402,v80_ns-85,0.1484375,0.0,0.0
403,v80_ns-86,0.1484375,0.0,0.0
